ID	CON	QUEUE
1	871	222572
2	25	223723
5	89	219069
3	74	222159
6	192	280317
7	56	285684
4	85	286381
9	275	281210
8	194	332338
15	228	333570
12	185	331772
11	65	338488
13	295	353812
14	1002	358893
10	162	368221
19	36	366314
20	113	373435
23	25	380180
17	144	382555
16	535	392988
27	69	396537
22	27	395051
18	505	402760
30	853	395209
26	626	389000
24	1376	381528
38	288	361073
34	243	357825
46	33	360628
50	112	356374
42	29	363413
31	542	358758
28	33	357833
32	29	352340
21	137	363585
43	326	356976
35	392	364615
39	323	366250
47	15	370284
44	22	364205
45	24	360611
29	37	366385
40	28	365420
36	26	370824
25	459	378109
48	19	382550
33	1516	376970
41	18	379042
37	22	381333
49	22	385047
