ID	CON	QUEUE
2	203	12167
1	203	12401
3	220	11512
4	219	12980
8	221	14043
7	204	14454
12	235	14359
11	219	14940
16	204	14186
15	219	15014
20	267	14121
19	204	14795
5	204	19573
22	297	17020
21	215	18365
6	299	22056
9	204	21617
23	204	19829
13	204	22225
10	204	23264
24	219	20626
17	204	22378
14	205	24300
18	219	24532
28	204	24126
27	204	24556
32	220	25133
31	219	25622
33	204	25492
34	220	25866
35	204	26461
36	229	27964
37	204	27776
38	299	27695
41	203	27991
25	204	32773
42	204	28537
26	220	33865
40	219	30460
29	220	33649
43	204	31052
44	219	30943
30	219	35398
48	221	34902
47	219	35187
51	220	36852
55	219	36503
56	219	36643
59	204	36523
52	219	38389
57	204	37923
60	203	37632
39	204	43640
58	204	39382
63	219	38973
45	219	43730
61	204	39726
62	219	40007
49	219	44259
46	220	45090
50	219	48330
67	219	44168
53	198	47976
66	220	47555
69	219	48345
68	220	48768
54	220	53827
77	204	47921
73	203	49637
72	204	50122
76	204	49234
80	219	48748
78	219	49468
79	204	49858
64	204	53743
65	205	55082
70	222	53916
81	219	51509
82	219	51310
74	204	53727
71	219	54776
75	204	54040
84	204	52494
83	204	53059
